transcript_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
TrSC58v2_394.t1,0,0,4,7,1,6
TrSC58v2_394.t1.e1,0,11,6,10,11,24
TrSC58v2_402.t1,0,0,0,0,1,0
TrSC58v2_402.t1.e1,0,0,3,0,7,8
TrSC58v2_403.t1,0,0,5,7,0,21
TrSC58v2_403.t1.e1,0,19,6,9,16,27
TrSC58v2_404.t1,0,3,0,5,0,12
TrSC58v2_404.t1.e1,0,4,0,6,0,14
TrSC58v2_405.t1,0,0,1,4,3,12
TrSC58v2_405.t1.e1,0,0,14,4,3,15
TrSC58v2_410.t1,0,0,0,0,0,11
TrSC58v2_410.t1.e1,0,0,0,0,0,4
TrSC58v2_414.t1,0,1,0,2,6,24
TrSC58v2_414.t1.e1,0,9,8,7,6,28
TrSC58v2_415.t1,0,7,15,13,15,40
TrSC58v2_415.t1.e1,0,9,16,15,17,50
TrSC58v2_420.t1,0,0,2,3,1,15
TrSC58v2_420.t1.e1,0,3,2,3,2,19
TrSC58v2_423.t1,0,1,12,1,0,3
TrSC58v2_423.t1.e1,0,4,14,6,4,17
TrSC58v2_424.t1,0,0,1,2,0,5
TrSC58v2_424.t1.e1,0,0,13,10,7,6
MSTRG.434.1,0,4,11,29,12,39
TrSC58v2_432.t1,0,1,0,2,0,10
TrSC58v2_432.t1.e1,0,3,0,5,3,11
TrSC58v2_435.t1,0,0,5,0,1,10
TrSC58v2_435.t1.e1,0,0,6,3,9,12
TrSC58v2_440.t1,0,0,0,16,9,47
TrSC58v2_440.t1.e1,0,10,10,19,11,50
TrSC58v2_447.t1,0,1,1,4,1,8
TrSC58v2_447.t1.e1,0,1,3,5,1,10
TrSC58v2_457.t1,0,3,0,2,1,17
TrSC58v2_457.t1.e1,0,4,0,14,2,17
TrSC58v2_458.t1,0,0,0,4,2,9
TrSC58v2_458.t1.e1,0,5,0,5,3,9
TrSC58v2_461.t1,0,1,9,2,6,23
TrSC58v2_461.t1.e1,0,8,11,3,7,26
TrSC58v2_462.t1,0,3,6,4,0,26
TrSC58v2_462.t1.e1,0,4,9,6,7,30
TrSC58v2_469.t1,0,3,14,1,17,36
TrSC58v2_469.t1.e1,0,4,17,27,21,40
TrSC58v2_470.t1,0,0,2,8,1,13
TrSC58v2_470.t1.e1,0,9,3,10,4,15
TrSC58v2_474.t1,0,11,4,12,8,26
TrSC58v2_474.t1.e1,0,14,6,14,9,31
TrSC58v2_475.t1,0,0,0,0,0,1
