gene_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
TrSC58v2_390|C3747_104g110,0,0,0,11,0,17
MSTRG.395|C3747_104g110,0,4,7,12,8,20
TrSC58v2_393|TRSC58_03373,0,5,0,0,2,17
MSTRG.398|TRSC58_03373,0,7,0,5,3,19
TrSC58v2_394|TcCL_NonESM08019,0,0,4,7,1,6
MSTRG.399|TcCL_NonESM08019,0,11,6,10,11,24
TrSC58v2_402|TRSC58_02693,0,0,0,0,1,0
MSTRG.408|TRSC58_02693,0,0,3,0,7,8
TrSC58v2_403|TTC5,0,0,5,7,0,21
MSTRG.409|TTC5,0,19,6,9,16,27
TrSC58v2_404|At5g53940,0,3,0,5,0,12
MSTRG.410|At5g53940,0,4,0,6,0,14
TrSC58v2_405|csnk-1,0,0,1,4,3,12
MSTRG.411|csnk-1,0,0,14,4,3,15
TrSC58v2_410|CG4456,0,0,0,0,0,11
MSTRG.416|CG4456,0,0,0,0,0,4
TrSC58v2_414|TRSC58_05081,0,1,0,2,6,24
MSTRG.420|TRSC58_05081,0,9,8,7,6,28
TrSC58v2_415|SRPK,0,7,15,13,15,40
MSTRG.421|SRPK,0,9,16,15,17,50
TrSC58v2_420|CYCU4-1,0,0,2,3,1,15
MSTRG.426|CYCU4-1,0,3,2,3,2,19
TrSC58v2_423|VHA-c2,0,1,12,1,0,3
MSTRG.429|VHA-c2,0,4,14,6,4,17
TrSC58v2_424|TRSC58_05360,0,0,1,2,0,5
MSTRG.430|TRSC58_05360,0,0,13,10,7,6
MSTRG.434,0,4,11,29,12,39
TrSC58v2_432|TRSC58_06395,0,1,0,2,0,10
MSTRG.439|TRSC58_06395,0,3,0,5,3,11
TrSC58v2_435|Nipsnap3b,0,0,5,0,1,10
MSTRG.442|Nipsnap3b,0,0,6,3,9,12
TrSC58v2_440|DDB_G0274201,0,0,0,16,9,47
MSTRG.447|DDB_G0274201,0,10,10,19,11,50
TrSC58v2_447|C3747_76g217,0,1,1,4,1,8
MSTRG.454|C3747_76g217,0,1,3,5,1,10
TrSC58v2_457|TRSC58_01846,0,3,0,2,1,17
MSTRG.464|TRSC58_01846,0,4,0,14,2,17
TrSC58v2_458|TRSC58_05774,0,0,0,4,2,9
MSTRG.465|TRSC58_05774,0,5,0,5,3,9
TrSC58v2_461|TRSC58_07244,0,1,9,2,6,23
MSTRG.468|TRSC58_07244,0,8,11,3,7,26
TrSC58v2_462|MJ1607,0,3,6,4,0,26
MSTRG.469|MJ1607,0,4,9,6,7,30
TrSC58v2_469|TRSC58_05613,0,3,14,1,17,36
MSTRG.476|TRSC58_05613,0,4,17,27,21,40
TrSC58v2_470|GOSR1,0,0,2,8,1,13
MSTRG.477|GOSR1,0,9,3,10,4,15
TrSC58v2_474|Rpgr,0,11,4,12,8,26
MSTRG.481|Rpgr,0,14,6,14,9,31
TrSC58v2_475|TcYC6_0175690,0,0,0,0,0,1
